登録日,表示/非表示フラグ,各物件トップ表示順位,物件名,TOP物件コメント,物件URL,物件サムネイル画像,エリア,エリア毎の並び順,所在地,利用可能路線1,利用可能路線2,利用可能路線3,利用可能路線4,メリットコピー,予定価格の下限,予定価格の上限,販売価格の下限,販売価格の上限,専有面積 下限,専有面積 上限,資料請求URL,間取り(下限値),間取り(上限値),NEW,分譲中・分譲予定,現地内覧可,モデルルーム公開中,駅5分,ファミリーにおすすめ,SINGLE・DINKS
2013/10/22,表示,1,パレステージ稲城,資料請求受付中,http://www.nisshinfudosan.co.jp/inagi/,thumb/h25/inagi_icon.jpg,東京都下,1,東京都稲城市東長沼2102番地,京王相模原線「稲城」駅より徒歩9分,JR南武線「稲城長沼」駅より徒歩9分,,,２駅２路線利用可能で新宿駅・渋谷駅へ26分の快適アクセス。\n様々な公園や桜並木が美しい遊歩道等、緑に癒される住環境。\n陽光溢れる南向き中心、一階住戸にはテラス・専用庭をご用意。,未定,未定,,,63.28㎡,80.67㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/inagi,2LDK,4LDK,表示,分譲予定,非表示,非表示,非表示,表示,非表示
2013/10/22,表示,2,パレステージ大森,資料請求受付中,http://www.nisshinfudosan.co.jp/omori/,thumb/h25/omori_icon.jpg,東京23区,1,東京都大田区大森北四丁目１7番,JR京浜東北線「大森」駅より徒歩9分,京浜急行線「平和島」駅より徒歩15分,,,品川駅へ直通6分、東京駅・横浜駅まで15分の快適アクセス。\n明るい光を取り入れる全戸南東向きの心地よい住空間。\n間取りは3LDK～4LDK＋Nのゆとりあるプラン。,未定,未定,,,63.76㎡,77.31㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omori,3LDK,4LDK+N,表示,分譲予定,非表示,非表示,非表示,表示,非表示
2013/8/9,表示,3,パレステージ大宮大和田,モデルルームオープン中,http://www.nisshinfudosan.co.jp/omiyaowada/,thumb/h25/omiyaowada_icon.jpg,埼玉,1,埼玉県さいたま市見沼区大和田町一丁目980番地,東武野田線「大和田」駅より徒歩3分,,,,大宮駅まで3駅6分。通勤や買い物に便利なアクセス。\nライフスタイルに合わせて選べる、南向き中心のプラン。\n大小様々な公園や24時間営業のスーパー等が揃う家族に嬉しい環境。,2300万円台,4300万円台,,,50.08㎡,87.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omiyaowada,2LDK,4LDK+N,非表示,分譲予定,非表示,表示,表示,表示,非表示
2013/8/8,表示,4,パレステージ舎人公園,モデルルームオープン中,http://www.nisshinfudosan.co.jp/tonerikoen/,thumb/h25/tonerikoen_icon.jpg,東京23区,2,東京都足立区皿沼二丁目2番,日暮里舎人ライナー「谷在家」駅より徒歩4分,日暮里舎人ライナー「舎人公園」駅より徒歩7分,,,豊かな緑と水、スポーツ施設も充実した都立舎人公園へ徒歩4分。\n明るい陽光に満ち開放感ある眺望の全戸南向きプラン。\n大手町駅へ22分、東京駅へ23分の軽快アクセス。,,,2380,3380,54.46㎡,72.47㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tonerikoen,2LDK,4LDK,非表示,分譲中,非表示,表示,表示,表示,非表示
2013/8/8,表示,5,パレステージ溝の口,モデルルームオープン中,http://www.nisshinfudosan.co.jp/mizonokuchi/,thumb/h25/mizonokuchi_icon.jpg,神奈川,1,神奈川県川崎市高津区久本二丁目11番,東急田園都市線・大井町線「溝の口」駅より徒歩10分,JR南武線「武蔵溝ノ口」駅より徒歩10分,東急田園都市線「梶ヶ谷」駅より徒歩9分,,溝の口駅より徒歩10分。渋谷駅へ13分の快適アクセス。\n眺望・陽光・風がご家族をお迎えする爽快立地に誕生する全80邸。\n充実の仕様と優美なデザインを供えた設備・仕様をご用意。,,,3630,4930,65.40㎡,75.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mizonokuchi,3LDK,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/7/24,表示,6,パレステージ三鷹,モデルルームオープン中,http://www.nisshinfudosan.co.jp/mitaka/,thumb/h25/mitaka_icon.jpg,東京都下,2,東京都三鷹市下連雀三丁目4番,JR中央線・総武線「三鷹」駅より徒歩11分,,,,街の賑わいと井の頭恩賜公園の潤いが調和するロケーション。\n三鷹駅より徒歩11分、新宿・東京へダイレクトアクセス。\nライフスタイルに合わせて選べる1LDK～4LDKのプラン。,,,3470,6160,46.18㎡,71.56㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mitaka,1LDK,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/4/9,表示,,パレステージ松戸北小金,,http://www.nisshinfudosan.co.jp/matsudokitakogane/,thumb/h25/matsudokitakogane_icon.jpg,千葉,1,千葉県松戸市根木内237番地,JR常磐線「北小金」駅より徒歩11分,,,,爽やかな陽光と風が息づく全戸南向きのプランニングをご用意。\n千代田線乗り入れで大手町・日比谷・霞が関へ直通アクセス。\n食洗機や床暖房など家族に嬉しい設備・仕様が充実。,,,2740,3190,70.02㎡,70.49㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/matsudokitakogane,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/3/25,表示,,TOKYO TWINKLE PROJECT,,http://www.nisshinfudosan.co.jp/machiya/,thumb/h25/tokyo_twinkle_project_icon.jpg,東京23区,3,壱番館：東京都荒川区町屋八丁目1番\n弐番館：東京都荒川区町屋七丁目1番,壱番館：東京メトロ千代田線「町屋」駅より徒歩7分,弐番館：東京メトロ千代田線「町屋」駅より徒歩11分,壱番館：京成本線「町屋」駅より徒歩8分,弐番館：京成本線「町屋」駅より徒歩12分,町屋に誕生する2棟の「パレステージ」シリーズ。\nライフスタイルに合わせて選べる2LDK＋S～4LDKの間取り。\n大手町駅へ直通12分、東京駅へ13分の軽快アクセス。,,,3610,4960,63.39㎡,83.16㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machiya,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/2/21,表示,,パレステージ阿佐ヶ谷,,http://www.nisshinfudosan.co.jp/asagaya,thumb/h25/asagaya_icon.jpg,東京23区,4,東京都杉並区本天沼一丁目28番,JR中央線・総武線「阿佐ヶ谷」駅より徒歩13分,西武新宿線「鷺ノ宮」駅より徒歩14分,,,阿佐ヶ谷の賑わいと中杉通りの緑豊かな自然が調和する住環境。\n新宿へ直通8分、東京へ直通21分の快適なアクセス。\n使いやすさにこだわって選びぬかれた設備・仕様をご用意。,,,7300,7790,86.53㎡,87.62㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asagaya,4LDK,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
2013/2/8,表示,7,パレステージ西所沢,モデルルームオープン中,http://www.nisshinfudosan.co.jp/nishitokorozawa/,thumb/h25/nishitokorozawa_icon.jpg,埼玉,2,埼玉県所沢市金山町14番,西武池袋線「西所沢」駅より徒歩6分,,,,西所沢駅徒歩6分の角地に誕生する、15階建、全70邸。\n陽光溢れる、全戸南東向きの明るい住空間。\n毎日の暮らしを便利にする、女性に嬉しい設備・仕様。,,,2750,3490,69.45㎡,75.99㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishitokorozawa,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/1/31,表示,8,パレステージ八王子,モデルルームオープン中,http://www.nisshinfudosan.co.jp/hachioji/,thumb/h25/hachioji_icon.jpg,東京都下,3,東京都八王子市明神町二丁目3番,京王線「京王八王子」駅より徒歩7分,JR中央線・横浜線・八高線「八王子」駅より徒歩12分,,,2駅4路線利用可能で「新宿」「東京」へダイレクトアクセス。\n大型商業施設も揃う街の賑わいと緑豊かな自然が調和する住環境。\nソーラーパネルやエコジョーズ等、エコに配慮した設備・仕様。,,,2730,3820,60.85㎡,75.03㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hachioji,2LDK,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/1/10,表示,,パレステージ王子,,http://www.nisshinfudosan.co.jp/oji/,thumb/h25/oji_icon.jpg,東京23区,5,東京都北区王子二丁目2番,JR京浜東北線「王子」駅より徒歩7分,東京メトロ南北線「王子」駅より徒歩5分,都電荒川線「王子駅前」停留所より徒歩7分,,王子駅徒歩５分、フラットで歩きやすいアプローチ。\n全20タイプ、南西向き住戸中心の全45邸。\n飛鳥山公園や名主の滝公園など緑溢れる周辺環境。,,,3920,4400,62.37㎡,65.82㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ouji,3LDK,3LDK,非表示,分譲中,非表示,表示,表示,表示,非表示
2013/1/8,表示,,パレステージ浅草橋,,http://www.nisshinfudosan.co.jp/asakusabashi/,thumb/h25/asakusabashi_icon.jpg,東京23区,6,東京都台東区鳥越二丁目9番,JR総武線「浅草橋」駅より徒歩8分,都営浅草線「浅草橋」駅より徒歩9分,都営浅草線「蔵前」駅より徒歩7分,都営大江戸線・つくばエクスプレス「新御徒町」駅より徒歩8分,3駅4路線利用可。都内各所へ軽快にアクセス。\nライフスタイルに合わせて選べる２LDK～４LDKのプラン。\n徒歩１０分圏内に生活利便施設が揃う住環境。,,,4090,5020,59.77㎡,65.78㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asakusabashi,2LDK,3LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2012/11/30,非表示,,パレステージ六町,2月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/rokucho/,thumb/h24/rokucho_icon.gif,東京23区,,東京都足立区六町一丁目16番,つくばエクスプレス「六町」駅より徒歩4分,,,,明るい光を取り入れる全戸南向きの心地よい住空間\n豊富な収納スペースや細部にまでこだわった住設備\n駅徒歩4分。つくばエクスプレスで秋葉原へ直通15分の快適アクセス,3140,3140,3140,3140,63.22㎡,63.22㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/rokucho,3LDK,3LDK,,,,,,,
2012/10/31,表示,,パレステージ中神,,http://www.nisshinfudosan.co.jp/nakagami/,thumb/h24/nakagami_icon.jpg,東京都下,4,東京都昭島市朝日町二丁目4番,JR青梅線「中神」駅より徒歩8分,JR青梅線「昭島」駅より徒歩12分,,,全戸南西または南東向きの明るいプランニング。\nショッピングや映画も楽しめるモリタウンへ徒歩11分。\n毎日の生活が快適になる機能的な設備・仕様をご用意。,,,3820,3820,76.63㎡,76.63㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nakagami,4LDK,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
2012/7/19,表示,,パレステージ福生,,http://www.nisshinfudosan.co.jp/fussa,thumb/h24/fussa_icon.jpg,東京都下,5,東京都福生市大字福生885番,JR青梅線「福生」駅より徒歩3分,,,,JR青梅線福生駅から徒歩3分。生活利便性にも優れた駅近立地。\n立川・新宿・東京など主要スポットへダイレクトアクセス。\n毎日の生活が快適になる、美しく機能的な設備・仕様をご用意。,,,2940,3480,64.82㎡,74.29㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/fussa,3LDK,4LDK,非表示,分譲中,表示,非表示,表示,表示,非表示
2012/6/29,非表示,,パレステージ練馬,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/nerima,thumb/h24/nerima_icon.gif,東京23区,,東京都練馬区練馬二丁目33番,西武池袋線「練馬」駅より徒歩12分,東京メトロ有楽町線・副都心線「氷川台」駅より徒歩14分,,,見晴らしの良い低層の街並みに囲まれた閑静な住環境\nライフスタイルに合わせて選べる多彩な間取りプラン\nアクティブなアクセスを実現する3駅利用可,4130,4130,4130,4130,62.97㎡,62.97㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nerima,3LDK,3LDK,,,,,,,
2012/6/29,非表示,,パレステージ中野野方,9月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/nakano_nogata,thumb/h24/nakano_nogata_icon.gif,東京23区,,東京都中野区野方二丁目63番,西武新宿線「野方」駅より徒歩7分,JR中央線・総武線「高円寺」駅より徒歩17分,,,西武新宿線・JR中央線・総武線の3路線利用可の快適な立地\n駅前の賑やかな商店街や大きな公園など暮らしやすい環境\n選びぬかれた設備・仕様で彩り生活が始まります,5130,5130,5130,5130,75.20㎡,75.20㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nakano_nogata,4LDK,4LDK,,,,,,,
2012/6/29,非表示,,パレステージ神田,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/kanda/,thumb/h24/kanda_icon.gif,東京23区,,東京都千代田区内神田三丁目3番,JR線「神田」駅より徒歩3分,東京メトロ線「大手町」駅より徒歩6分,,,千代田区内神田。山手線内側の立地に誕生する全32邸\n大手町駅・日本橋駅・東京駅など都心の中心駅が徒歩圏内\n住むほどに使いやすさを実感する設備・仕様,4580,4620,4580,4620,54.25㎡,54.25㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kanda,1LDK+S,1LDK+S,,,,,,,
2012/6/28,非表示,,パレステージ錦糸町,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/kinshicho,thumb/h24/kinshicho_icon.gif,東京23区,,東京都墨田区大平一丁目15番,JR総武線・総武線快速「錦糸町」駅より徒歩8分,東京メトロ半蔵門線「錦糸町」駅より徒歩9分,,,3路線利用可能で「東京」「新宿」「渋谷」へもダイレクトアクセス\n生活利便施設はもちろん、緑豊かな公園も身近に点在\n全戸南向きの明るいルームプラン,3890,4390,3890,4390,54.06㎡,62.36㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kinshicho,1LDK+S,3LDK,,,,,,,
2012/6/28,表示,,パレステージ綾瀬,,http://www.nisshinfudosan.co.jp/ayase,thumb/h24/ayase_icon.jpg,東京23区,7,東京都足立区東綾瀬三丁目2番,東京メトロ千代田線「綾瀬」駅より徒歩14分,JR常磐緩行線「綾瀬」駅より徒歩14分,東京メトロ千代田線「北綾瀬」駅より徒歩12分,,東綾瀬公園まで徒歩2分。公園に囲まれた緑豊かな住環境。\nライフスタイルに合わせて選べる全15タイプのプラン。\nミストサウナや宅配サービスもついた充実の設備仕様。,,,3680,3730,75.68㎡,85.44㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ayase,3LDK+S,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
2012/6/28,表示,,パレステージ西新井本町,,http://www.nisshinfudosan.co.jp/nishiarai_honcho/,thumb/h24/nishiarai_honcho_icon.jpg,東京23区,8,東京都足立区西新井本町二丁目14番,東武大師線「大師前」駅より徒歩11分,日暮里・舎人ライナー「江北」駅より徒歩8分,,,毎日のくらしを明るくする全戸南向きのルームプラン。\n大小様々な公園も点在し子育て家族に嬉しい環境。\n住むほどに使いやすさを実感する設備・仕様。,,,2940,3510,62.62㎡,73.17㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishiarai_honcho,3LDK,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
2012/6/28,非表示,,パレステージ本厚木,8月中旬分譲開始,http://www.nisshinfudosan.co.jp/honatsugi/,thumb/h24/honatsugi_icon.gif,神奈川,,神奈川県厚木市水引2丁目2番,小田急小田原線「本厚木」駅より徒歩13分,,,,お祭りやイベントの多い楽しい街に誕生する全95邸\n公共施設や教育・医療機関等、暮らしに便利で安心の施設が充実\n選び抜かれた設備・仕様で快適生活をさらにサポート,2870,2870,2870,2870,73.20㎡,73.20㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/honatsugi,3LDK+N,3LDK+N,,,,,,,
2012/6/1,非表示,,パレステージ横浜台町,7月中旬分譲開始,http://www.nisshinfudosan.co.jp/yokohama_daimachi/,thumb/h24/yokohamadaimachi_icon.gif,神奈川,,神奈川県横浜市神奈川区台町7番,JR線「横浜」駅より徒歩6分,東急東横線「横浜」駅より徒歩6分,,,ビックターミナル「横浜」駅より徒歩6分\n横浜駅前を生活圏とする高台の邸宅が誕生\n選びぬかれた設備･仕様で快適生活をさらにサポート,4110,4110,4110,4110,54.30㎡,54.30㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/yokohama_daimachi,2LDK,2LDK,,,,,,,
2012/5/17,非表示,,パレステージ町田イースト,先着順受付中,http://www.nisshinfudosan.co.jp/machida_east/,thumb/h24/machida_east_icon.gif,東京都下,,東京都町田市原町田四丁目19番,JR横浜線「町田」駅より徒歩7分,小田急小田原線「町田」駅より徒歩9分,,,小田急線・JR横浜線2路線利用で通勤、通学、買い物に便利な都心へ直結\n爽やかな陽光と風が息づく全戸南向きのプランニングをご用意\n食洗機や浴室テレビ、床暖房など家族に嬉しい先進機能が充実,3720,3800,3720,3800,63.24㎡,64.02㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machida_east,3LDK,3LDK,,,,,,,
2012/3/23,非表示,,パレステージ三ツ沢上町,4月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/mitsuzawa/,thumb/h24/mitsuzawa_icon.gif,神奈川,,神奈川県横浜市神奈川区三ツ沢上町3番,横浜市営地下鉄ブルーライン「三ッ沢上町」駅より徒歩2分,,,,三ツ沢上町駅より徒歩2分。横浜も身近な生活圏に\n四季の息づかいを感じる緑に憩うロケーション\n間取りは全戸南向きの明るいプランニング,3290,3290,3290,3290,55.78㎡,55.78㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mitsuzawa,2LDK,2LDK,,,,,,,
2012/3/23,非表示,,パレステージ根岸,4月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/negishi/,thumb/h24/negishi_icon.gif,東京23区,,東京都台東区根岸3丁目22番,JR山手線「鶯谷」駅より徒歩8分,東京メトロ日比谷線「入谷」駅より徒歩7分,,,利便性が高いJR山手線を利用できる3駅8路線のマルチアクセス\n街並みの景観と調和しながらもさりげなく存在感を主張するデザイン\n食洗機や床暖房など毎日の生活が快適になる設備・仕様をご用意,3160,3340,3160,3340,53.99㎡,55.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/negishi,1LDK+S,2LDK,,,,,,,
2012/2/10,表示,,パレステージ井土ヶ谷,,http://www.nisshinfudosan.co.jp/idogaya/,thumb/h23/idogaya_icon.jpg,神奈川,2,神奈川県横浜市南区永田東二丁目1番,京浜急行本線「井土ヶ谷」駅より徒歩7分,JR横須賀線・湘南新宿ライン「保土ヶ谷」駅より徒歩15分,,,横浜駅へ直通７分。暮らすほど便利さと楽しみが広がる街。\n開放感と独立性をもたらす三方道路という恵まれた立地に誕生。\nミストサウナや食洗機など、家族に嬉しい充実設備をご用意。,,,4050,4130,70.60㎡,75.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/idogaya,3LDK,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
2012/2/10,非表示,,パレステージ町田サウスト,3月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/machida/,thumb/h23/machida_icon.gif,東京都下,,東京都町田市原町田二丁目22番,JR横浜線「町田」駅より徒歩8分,小田急線「町田」駅より徒歩13分,,,町田駅より徒歩８分。小田急線・JR横浜線２路線利用可能で都心へ軽快アクセス\n駅前は百貨店や商店街などで賑わい、公共施設や病院も身近に揃う便利な立地\n多彩なライフスタイルにフィットする全10プランのバリエーションをご用意,3530,3530,3530,3530,64.38㎡,64.38㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machida,3LDK,3LDK,,,,,,,
2011/10/25,非表示,,日神パレステージ初台オペラ通り,11月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/hatsudai/,thumb/h23/hatsudai_icon.gif,東京23区,,東京都渋谷区本町一丁目2番,京王新線「初台」駅より徒歩1分,,,,東京オペラシティに隣接する究極のポジションに誕生\n新宿駅2分、渋谷駅へ７分。都心を手の内にした軽快なフットワーク\nシングルからファミリーまで、選べるプランバリエーション,2970,3590,2970,3590,54.54㎡,64.81㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hatsudai,2LDK+S,2LDK+S,,,,,,,
2011/10/14,表示,,パレステージ日吉さくらが丘,,http://www.nisshinfudosan.co.jp/hiyoshi/,thumb/h23/hiyoshi_icon.jpg,神奈川,3,神奈川県川崎市高津区蟹ヶ谷74番地,東急東横線「日吉」駅よりバス10分「さくらが丘」停留所より徒歩2分,,,,陽ざしと緑に包まれた日吉の丘に誕生する全99邸。\nライフスタイルに合わせて選べる22タイプのルームプラン。\n日々の快適を見つめた充実の設備・仕様。,,,3170,4220,64.16㎡,81.54㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hiyoshi,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2011/7/12,非表示,,日神パレステージ府中西,9月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/fuchunishi/,thumb/h23/fuchunishi_icon.gif,東京都下,,東京都府中市本宿町二丁目14番,JR南武線「西府」駅より徒歩7分,京王線「分倍河原」駅より徒歩13分,,,明るい光を取り入れる全戸南向きの心地よい住空間\n2駅2路線利用可能。新宿・川崎に直通の快適アクセス\nきめ細やかな利便性・安全性に配慮した設備・仕様,2450,2450,2450,2450,54.15㎡,54.15㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/fuchunishi,2LDK,2LDK,,,,,,,
2011/7/11,非表示,,日神パレステージ立川柴崎町,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/tachikawa_shibasaki/,thumb/h23/tachikawa_shibasaki_icon.gif,東京都下,,東京都立川市柴崎町二丁目4番,JR中央線「立川」駅より徒歩5分,JR南武線「立川」駅より徒歩5分,,,ルームプランは全戸明るく開放的な角住戸の全26邸\nJR線立川駅より徒歩５分。2駅4路線利用で都心へダイレクトアクセス\n住むほどに使いやすさを実感する、機能性を重視した設備・仕様,3370,3370,3370,3370,54.01㎡,54.01㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tachikawa_shibasaki,2LDK,2LDK,,,,,,,
2011/7/8,非表示,,日神パレステージ大森町,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/omorimachi/,thumb/h23/omorimachi_icon.gif,東京23区,,東京都大田区大森中一丁目17番,京浜急行本線「大森町」駅より徒歩4分,京浜急行本線「梅屋敷」駅より徒歩5分,,,横浜駅へ12分、東京駅へ18分、2駅利用で都心へ快適アクセス\nプライバシーに優れた全戸角住戸のルームプラン\n毎日の生活をサポートする充実の設備・仕様をご用意,3210,3210,3210,3210,54.00㎡,54.00㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omorimachi,2LDK,2LDK,,,,,,,
2011/7/8,非表示,,日神パレステージ立川曙町,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/tachikawa_akebonocho/,thumb/h23/tachikawa_akebonocho_icon.gif,東京都下,,東京都立川市曙町二丁目19番,JR中央線「立川」駅より徒歩7分,JR南武線「立川」駅より徒歩7分,,,明るい光を取り入れる全戸南向きの心地よい住空間\n吉祥寺駅へ14分、新宿駅へ直通26分。2駅4路線利用で都心へダイレクトアクセス\n毎日の生活が快適になる、美しく機能的な設備・仕様をご用意,3250,4070,3250,4070,54.07㎡,63.70㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tachikawa_akebonocho,2LDK,2LDK+S,,,,,,,
2011/7/5,非表示,,日神パレステージ西新井,8月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/nishiarai/,thumb/h23/nishiarai_icon.gif,東京23区,,東京都足立区西新井栄町二丁目11番10,東武伊勢崎線「西新井」駅より徒歩3分,,,,駅徒歩3分。駅前再開発により美しく生まれ変わる「西新井」に誕生\n全戸に豊富な収納を設けた選べる全5タイプのルームプラン\n急行停車駅が叶える快適アクセス。東京メトロ2路線乗入で都心へ楽々,2940,3550,2940,3550,54.06㎡,64.29㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishiarai/,2LDK,2LDK+S,,,,,,,
2001/7/1,非表示,,日神パレステージ曳舟,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/hikihune/,thumb/h23/hikihune_icon.gif,東京23区,,東京都墨田区八広一丁目4番,京成押上線「京成曳舟」駅より徒歩3分,東武伊勢崎線「東向島」駅より徒歩8分,,,徒歩8分内に3駅3路線利用可能で都心へ快適アクセス\n伝統と未来がクロスする新しい曳舟・押上エリア\n街並みに映える洗練されたデザイン,3600,3600,3600,3600,57.51㎡,57.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hikihune,2LDK,2LDK,,,,,,,
2011/7/1,非表示,,日神パレステージ新小岩EAST,7月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/shinkoiwa_east/,thumb/h23/shinkoiwa_east_icon.gif,東京23区,,東京都葛飾区新小岩四丁目7番20,JR総武線・総武線快速「新小岩」駅より徒歩7分,,,,東京へ直通13分、新宿25分など都心の主要エリアへスピーディーアクセス\n学校や公園、毎日の生活に便利な商業施設も徒歩10分圏内の充実エリア\nライフスタイルに合わせて選べる全12タイプのプランバリエーション,3420,4080,3420,4080,60.75㎡,70.06㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/shinkoiwa_east,2LDK,3LDK,,,,,,,
2011/7/1,非表示,,日神パレステージ板橋滝野川,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/itabashi_takinogawa/,thumb/h23/itabashitakinogawa_icon.gif,東京23区,,東京都北区滝野川六丁目11番,都営三田線「西巣鴨」駅より徒歩5分,JR埼京線「板橋」駅より徒歩8分,,,都営三田線とJR埼京線の2路線利用可の快適アクセス\n桜並木や緑に恵まれた住環境。買い物にも便利な立地\nシングルからディンクスまでの多彩な間取りプラン,4800,4800,4800,4800,70.56㎡,70.56㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/itabashi_takinogawa,3LDK,3LDK,,,,,,,
2011/6/28,非表示,,日神パレステージ梅島,8月下旬分譲開始予定,http://www.nisshinfudosan.co.jp/umejima/,thumb/h23/umejima_icon.gif,東京23区,,東京都足立区梅田七丁目10番,東武伊勢崎線「梅島」駅より徒歩8分,,,,プライバシーに優れた角住戸中心のプラン\n豊かな自然と整った生活施設に包まれた住環境\n毎日の生活を快適にサポートする先進設備をご用意,2730,3220,2730,3220,54.90㎡,63.03㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/umejima,2LDK,3LDK,,,,,,,
2011/6/28,非表示,,日神パレステージ池袋西,8月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/ikebukuro_nishi/,thumb/h23/Ikebukuro_icon.gif,東京23区,,東京都板橋区中丸町11番,東京メトロ有楽町線・副都心線「要町」駅より徒歩12分,JR線「池袋」駅より徒歩14分,,,2駅8路線利用で主要スポットへダイレクトアクセス\nライフスタイルに合わせて選べる1LDK～3LDKのルームプラン\n学校やスーパー、大型商業施設も身近な充実の周辺環境,4500,4580,4500,4580,63.00㎡,65.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ikebukuro_nishi,3LDK,3LDK,,,,,,,
2011/5/16,表示,,日神パレステージ江戸川船堀,,http://www.nisshinfudosan.co.jp/edogawa_hunabori/,thumb/h23/edogawahunabori_icon.jpg,東京23区,9,東京都江戸川区東小松川四丁目12番,都営新宿線「船堀」駅より徒歩11分,,,,全12タイプの明るい南向きと東向きの２棟建て全29邸。\n都営新宿線の急行停車駅が叶える軽快なフットワーク。\n生活利便施設や江戸川区ならではの子育て支援も充実。,,,4030,4270,70.20㎡,74.84㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hunabori/,3LDK+DEN,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
