登録日,表示/非表示フラグ,各物件トップ表示順位,物件名,TOP物件コメント,物件URL,物件サムネイル画像,エリア,エリア毎の並び順,所在地,利用可能路線1,利用可能路線2,利用可能路線3,利用可能路線4,メリットコピー,予定価格の下限,予定価格の上限,販売価格の下限,販売価格の上限,専有面積 下限,専有面積 上限,資料請求URL,間取り(下限値),間取り(上限値),NEW,分譲中・分譲予定,現地内覧可,モデルルーム公開中,駅5分,ファミリーにおすすめ,SINGLE・DINKS
2011/5/13,非表示,,日神パレステージ川口元郷,6月下旬分譲開始,http://www.nisshinfudosan.co.jp/kawaguchimotogo/,thumb/h23/kawaguchimotogo_icon.gif,埼玉,,埼玉県川口市元郷一丁目27番8,埼玉高速鉄道線「川口元郷」駅より徒歩9分,,,,明るい光を取り入れる全戸南西向きの心地よい住空間\n水と緑を身近に感じ、生活の利便性にも恵まれたロケーション\n床暖房やエコジョーズなど毎日の生活に嬉しい充実の設備,3170,3170,3170,3170,70.33㎡,70.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kawaguchimotogo,3LDK,3LDK,,,,,,,
2011/5/13,非表示,,日神パレステージ海老名,7月中旬分譲開始,http://www.nisshinfudosan.co.jp/ebina/,thumb/h23/ebina_icon.gif,神奈川,,神奈川県海老名市中央三丁目4番10,小田急小田原線「海老名」駅より徒歩7分,JR相模線「海老名」駅より徒歩11分,,,間取りは全戸南向きの明るいプランニング\n駅前にはショッピングや映画館など家族で楽しめる施設が充実\n3駅3路線が利用でき、新宿駅・横浜駅へ直通アクセス,2780,3040,2780,3040,60.69㎡,65.08㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ebina,2LDK+S,3LDK,,,,,,,
2011/5/9,非表示,,日神パレステージ京王よみうりランド,6月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/keio_yomiuriland/,thumb/h23/keio_yomiuriland_icon.gif,東京都下,,東京都稲城市矢野口1599番の2,京王相模原線「京王よみうりランド」駅より徒歩9分,JR南武線「矢野口」駅より徒歩9分,,,２駅２路線利用可能で都心へも軽快アクセス\n水や緑を身近に感じ、生活利便施設にも恵まれたロケーション\n食洗機や床暖房も標準装備で充実の設備・仕様,2960,2960,2960,2960,70.21㎡,70.21㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/keio_yomiuriland,2LDK+S,2LDK+S,,,,,,,
2011/4/26,非表示,,日神パレステージ四つ木,6月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/yotsugi/,thumb/h23/yotsugi_icon.gif,東京23区,,東京都葛飾区四つ木二丁目19番,京成押上線「四ツ木」駅より徒歩11分,京成本線「お花茶屋」駅より徒歩17分,,,商業施設や小中学校が身近に揃う暮らしやすい住環境\n四つ木の街を見下ろす、14階建てのスタイリッシュフォルム\n住むほどに使いやすさを実感する設備・仕様,3780,3780,3780,3780,74.99㎡,74.99㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/yotsugi,3LDK,3LDK,,,,,,,
2011/4/26,非表示,,日神パレステージ小田急相模原フロント,6月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/odakyusagamihara/,thumb/h23/odakyusagamihara_icon.gif,神奈川,,神奈川県座間市相模が丘五丁目3番,小田急小田原線「小田急相模原」駅より徒歩2分,,,,駅徒歩2分。新しく生まれ変わる駅前の利便性を享受する立地\n上質の暮らしに相応しい広々としたエントランスホールとラウンジ\n使いやすさと美しさを併せもった設備・仕様,3440,3440,3440,3440,73.76㎡,73.76㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/odakyu_sagamihara,3LDK,3LDK,,,,,,,
2011/3/1,非表示,,日神パレステージ大塚,4月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/otsuka/,thumb/h23/otsuka_icon.gif,東京23区,,東京都豊島区南大塚一丁目58番,JR山手線「大塚」駅より徒歩5分,東京メトロ丸ノ内線「新大塚」駅より徒歩8分,,,山手線内側の立地。５駅４路線利用できる軽快アクセス\n全戸南東向きの明るいルームプラン\n通風と採光に配慮した角住戸中心のプラン,3700,3700,3700,3700,54.23㎡,54.23㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/otsuka,2LDK,2LDK,,,,,,,
2011/3/1,非表示,,日神パレステージ下赤塚,4月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/shimoakatsuka/,thumb/h23/shimoakatsuka_icon.gif,東京23区,,東京都板橋区徳丸四丁目18番,東京メトロ副都心線「地下鉄赤塚」駅より徒歩12分,東武東上線「下赤塚」駅より徒歩11分,,,副都心線利用で新宿三丁目・渋谷へもダイレクトアクセス\n南西・南東向き全23タイプのプランバリエーション\nミストサウナや床暖房など家族に嬉しい充実の設備,3510,3510,3510,3510,63.60㎡,63.60㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/shimoakatsuka,3LDK,3LDK,,,,,,,
2011/3/1,非表示,,日神パレステージ浦和本太,4月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/urawa_motobuto/,thumb/h23/urawa_motobuto_icon.gif,埼玉,,埼玉県さいたま市浦和区本太二丁目2番,JR京浜東北線「浦和」駅より徒歩8分,JR宇都宮線「浦和」駅より徒歩8分,,,３路線利用できるJR浦和駅より徒歩８分\n浦和駅を中心に進む再開発事業によりさらに暮らしやすい街へ\n全戸南東向きの明るいルームプラン,3300,3300,3300,3300,60.58㎡,60.58㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/urawa_motobuto,2LDK+S,2LDK+S,,,,,,,
2011/3/1,非表示,,日神パレステージ横浜鶴ヶ峰,4月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/tsurugamine/,thumb/h23/tsurugamine_icon.gif,神奈川,,神奈川県横浜市旭区白根一丁目21番,相模鉄道線「鶴ヶ峰」駅より徒歩13分,相模鉄道線「西谷」駅より徒歩11分,,,明るく開放的な南向き住戸中心のプラン\n使いやすさとデザインにこだわった設備・仕様\n新線開通予定で都心へ直通アクセス,2960,3120,2960,3120,63.10㎡,64.05㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tsurugamine,2LDK+S,3LDK,,,,,,,
2010/12/10,非表示,,日神パレステージ王子神谷Ⅱ,1月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/ojikamiya2/,thumb/h22/ojikamiya2_icon.gif,東京23区,,東京都北区神谷一丁目2番,東京メトロ南北線「王子神谷」駅より徒歩3分,JR京浜東北線「東十条」駅より徒歩11分,,,王子神谷駅より徒歩3分。2駅2路線利用で都心へラクラクアクセス\n生活に便利な施設や賑わいある商店街が徒歩圏に\n訪れる人を優しく迎える全36邸の新しいライフステージ,2880,2880,2880,2880,54.32㎡,54.32㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ojikamiya2,1LDK+S,1LDK+S,,,,,,,
2010/12/10,非表示,,日神パレステージ板橋本町,1月上旬分譲開始予定,http://www.nisshinfudosan.co.jp/itabashihoncho/,thumb/h22/itabashihoncho_icon.gif,東京23区,,東京都板橋区本町19番,都営三田線「板橋本町」駅より徒歩5分,JR埼京線「十条」駅より徒歩18分,,,あらゆる路線とクロスする都営三田線利用で都心へ快適アクセス\n徒歩3分の小学校や子供と一緒に遊べる公園など家族にうれしい施設が充実\n多彩なライフスタイルにフィットする全10プランのバリエーション,3140,3980,3140,3980,54.27㎡,64.56㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/itabashihoncho,2LDK,3LDK,,,,,,,
2010/11/2,非表示,,パレステージ板橋,11月下旬分譲開始予定,http://www.palacestage.com/itabashi/,thumb/h22/itabashi_icon.gif,東京23区,,東京都板橋区板橋一丁目11番,JR埼京線「板橋」駅より徒歩3分,都営三田線「新板橋」駅より徒歩5分,,,板橋駅より徒歩３分。生活に便利な生活施設が徒歩１０分圏内に充実\n３駅３路線利用可能。新宿駅・池袋駅に直通のダイレクトアクセス\n全戸角住戸で開放的な２面採光を実現した全３９邸,3190,4030,3190,4030,47.58㎡,57.14㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/itabashi,1LDK+S,1LDK+S,,,,,,,
2010/10/22,非表示,,日神パレステージ武蔵小金井,11月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/musashikoganei/,thumb/h22/musashikoganei_icon.gif,東京都下,,東京都小金井市本町一丁目7番,JR中央線「武蔵小金井」駅より徒歩4分,,,,駅前の大規模な再開発で生まれ変わったJR中央線「武蔵小金井」駅\n商店街を抜けた駅徒歩4分の立地に誕生する、全戸南向きの全25邸\n小金井公園をはじめ、豊かな自然に恵まれた周辺環境,3570,3730,3570,3730,55.26㎡,55.34㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/musashikoganei,1LDK+S,2LDK,,,,,,,
2010/10/22,非表示,,日神パレステージ三ノ輪,11月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/minowa/,thumb/h22/minowa_icon.gif,東京23区,,東京都台東区竜泉三丁目14番,東京メトロ日比谷線「三ノ輪」駅より徒歩6分,東京メトロ日比谷線「入谷」駅より徒歩9分,,,2駅利用可能で主要駅へダイレクトアクセス\n浅草や上野にも近く、徒歩や自転車で気軽に出かけられる周辺環境\n美しさと機能性にこだわった設備・仕様,3450,3450,3450,3450,54.52㎡,54.52㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/minowa,2LDK,2LDK,,,,,,,
2010/10/22,非表示,,日神パレステージ戸部,11月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/tobe/,thumb/h22/tobe_icon.gif,神奈川,,神奈川県横浜市西区中央一丁目43番17,京浜急行線「戸部」駅より徒歩7分,JR線「横浜」駅より徒歩18分,,,横浜駅やみなとみらいへ気軽に行ける、横浜を満喫できるロケーションに誕生\n公園や小学校などが徒歩4分圏に揃い、公共機関・医療機関・生活施設も充実\n間取りは明るく開放的な全戸南向き,3020,3120,3020,3120,54.40㎡,55.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tobe,1LDK+S,2LDK,,,,,,,
2010/9/17,非表示,,日神パレステージ宮崎台Ⅱ,先着順受付中,http://www.nisshinfudosan.co.jp/miyazakidai2/,thumb/h22/miyazakidai2_icon.gif,神奈川,,神奈川県川崎市高津区下作延三丁目24番40,東急田園都市線「宮崎台」駅より徒歩8分,,,,田園都市線「宮崎台」駅から半蔵門線乗り入れで都心へ快適アクセス\n駅を中心に整備された美しい街並みの快適性に満ちた住環境\n使いやすさにこだわって選びぬかれた設備・仕様をご用意,3860,3860,3860,3860,60.26㎡,60.26㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/miyazakidai2,3LDK,3LDK,,,,,,,
2010/9/17,非表示,,日神パレステージさいたま新都心,10月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/saitamashintoshin/,thumb/h22/saitamashintoshin_icon.gif,埼玉,,埼玉県さいたま市大宮区天沼町二丁目,JR京浜東北線「さいたま新都心」駅より徒歩14分,JR宇都宮線・高崎線「さいたま新都心」駅より徒歩14分,,,駅前には映画館や大型商業施設が揃うさいたま新都心\nターミナル駅大宮まで直通2分、池袋駅30分などの好アクセス\n全戸南西または南東向きの明るいプランニング,3070,3400,3070,3400,63.63㎡,63.74㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/saitamashintoshin,3LDK,3LDK,,,,,,,
2010/9/17,非表示,,日神パレステージ大和,10月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/yamato/,thumb/h22/yamato_icon.gif,神奈川,,神奈川県大和市中央四丁目3番,小田急江ノ島線「大和」駅より徒歩4分,相模鉄道線「大和」駅より徒歩4分,,,「大和」駅へ徒歩４分。2路線利用で都心へダイレクトアクセス\n公共施設や教育・医療機関が揃う、暮らしに便利で安心の住環境\n毎日の生活が快適になる、美しく機能的な設備・仕様をご用意,2920,3010,2920,3010,62.50㎡,62.50㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/yamato,3LDK,3LDK,,,,,,,
2010/8/31,非表示,,日神デュオステージ王子,9月中旬分譲開始予定,http://www.nisshinfudosan.co.jp/oji/,thumb/h22/oji_icon.gif,東京23区,,東京都北区王子本町二丁目1番,東京メトロ南北線「王子」駅より徒歩7分,JR京浜東北線「王子」駅より徒歩8分,,,3駅4路線利用で新宿駅・上野駅・渋谷駅に直通の軽快なフットワーク\n生活に便利な多種多様の生活施設が徒歩１０分圏内に充実。\n間取りは明るく開放的な南向き住戸中心の全８タイプをご用意,2110,2380,2110,2380,30.00㎡,32.30㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/oji,1DK,1DK,,,,,,,
2010/8/6,非表示,,日神パレステージ巣鴨,先着順受付中,http://www.nisshinfudosan.co.jp/sugamo/,thumb/h22/sugamo_icon.gif,東京23区,,東京都豊島区南大塚一丁目30番25,JR山手線「巣鴨」駅より徒歩7分,東京メトロ丸ノ内線「新大塚」駅より徒歩14分,,,山手線内側の立地。2駅3路線利用可で都心へダイレクトアクセス\nルームプランは全戸明るく開放的な角住戸の設計\n上層階からは都心の立地を実感するワイドな眺望がひろがります,2340,2380,2340,2380,30.08㎡,30.08㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/sugamo,Studio,Studio,,,,,,,
2010/8/6,非表示,,日神パレステージ阪東橋Ⅱ,先着順受付中,http://www.nisshinfudosan.co.jp/bandobashi2/,thumb/h22/bandobashi2_icon.gif,神奈川,,神奈川県横浜市南区高根町三丁目17番9,横浜市営地下鉄ブルーライン「阪東橋」駅より徒歩2分,京浜急行本線「黄金町」駅より徒歩5分,,,阪東橋駅へ徒歩2分のエキチカな立地\n通風と採光に配慮した角住戸中心のプラン。\n洗練されたデザインと、使いやすさ両立した設備・仕様,3140,3140,3140,3140,55.28㎡,55.28㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/bandobashi2,2LDK,2LDK,,,,,,,
2010/8/6,非表示,,日神パレステージ田原町,先着順受付中,http://www.nisshinfudosan.co.jp/tawaramachi/,thumb/h22/tawara_icon.gif,東京23区,,東京都台東区元浅草四丁目1番14,東京メトロ銀座線「田原町」駅より徒歩4分,JR線「上野」駅より徒歩15分,,,田原町駅を初め、複数路線が利用できる立地\nかっぱ橋道具街や、浅草・上野名所も徒歩圏の充実した周辺環境\n東京スカイツリーを見ることができるお部屋もご用意,2240,2420,2240,2420,34.41㎡,34.41㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tawaramachi,1LDK,1LDK,,,,,,,
2010/8/6,非表示,,日神パレステージ武蔵関,先着順受付中,http://www.nisshinfudosan.co.jp/musashiseki/,thumb/h22/musashiseki_icon.gif,東京23区,,東京都練馬区関町北五丁目8番,西武新宿線「武蔵関」駅より徒歩11分,西武新宿線「東伏見」駅より徒歩9分,,,商店街や教育・医療施設などが生活圏内に揃う立地\nライフスタイルに合わせた全14タイプの間取りプラン\n使いやすさとデザインにこだわった設備・仕様,2610,3660,2610,3660,42.70㎡,62.01㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/musashiseki,1LDK,1LDK+S,,,,,,,
2010/7/22,非表示,,日神デュオステージ浅草Ⅱ,先着順受付中,http://www.nisshinfudosan.co.jp/asakusa/,thumb/h22/asakusa_icon.gif,東京23区,,東京都台東区千束一丁目7番3,つくばエクスプレス線「浅草」駅より徒歩7分,東京メトロ日比谷線「入谷」駅より徒歩8分,,,4駅4路線利用可能で都心へ軽快なアクセス\n南向き住戸中心の設計で、採光・通風豊かな住空間を実現\n上層階からは、東京スカイツリーを望むことができます。,2740,2800,2740,2800,35.00㎡,40.00㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asakusa2,1DK,1DK,,,,,,,
2010/4/22,非表示,,日神パレステージ田端,先着順受付中,http://www.nisshinfudosan.co.jp/tabata/,thumb/h22/tabata_icon.gif,東京23区,,東京都荒川区西尾久四丁目25番,JR高崎線「尾久」駅より徒歩5分,JR山手線「田端」駅より徒歩13分,,,明るい日差しと風通しが心地よい全戸南西向きプラン\nシングルからファミリーまで様々なスタイルで選べるルームプラン\n都内主要都市へ軽快フットワーク。仕事も遊びも便利な魅力のアクセス,1880,1880,1880,1880,30.40㎡,30.40㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tabata,1DK,1DK,,,,,,,
2010/4/22,非表示,,日神パレステージ三ノ輪竜泉,先着順受付中,http://www.nisshinfudosan.co.jp/minowa_ryusen/,thumb/h22/minowa_ryusen_icon.gif,東京23区,,東京都台東区竜泉三丁目37番,東京メトロ日比谷線「三ノ輪」駅より徒歩6分,JR常磐線「南千住」駅より徒歩14分,,,ビジネスにしショッピングにレジャーに、毎日が便利な住環境\n東京駅から約６キロ圏内で通勤に便利なアクセス\n１フロア３住戸。全戸明るい２面採光の角住戸,3440,3850,3440,3850,54.04㎡,60.06㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/minowa_ryusen,2LDK,3LDK,,,,,,,
2010/4/22,非表示,,日神パレステージ八広,先着順受付中,http://www.nisshinfudosan.co.jp/yahiro/,thumb/h22/yahiro_icon.gif,東京23区,,東京都墨田区八広五丁目14番,京成押上線「八広」駅より徒歩2分,東武伊勢崎線[東向島」駅より徒歩10分,,,「八広」駅まで徒歩２分。生活利便性にも優れた好立地\n１フロア3住戸・全戸角住戸のルームプラン\n3つのカラーが織りなす、品格ある外観デザイン,2590,2590,2590,2590,40.52㎡,40.52㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/yahiro,1LDK,1LDK,,,,,,,
2010/3/30,非表示,,日神デュオステージ国領,先着順受付中,http://www.nisshinfudosan.co.jp/kokuryo/,thumb/h22/kokuryo_icon.gif,東京都下,,東京都調布市国領町1丁目32番地6,京王線「国領」駅より徒歩4分,京王線「布田」駅より徒歩6分,,,新宿、渋谷へ。京王線で主要スポットへ軽快アクセス\n複合商業ビルや病院など暮らしに便利な施設も身近に\n明るい2面採光の角住戸を80%以上設けました,2270,2480,2270,2480,30.64㎡,30.64㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kokuryo,1DK,1DK,,,,,,,
2010/3/30,非表示,,日神デュオステージ蕨,先着順受付中,http://www.nisshinfudosan.co.jp/warabi/,thumb/h22/warabi_icon.gif,埼玉,,埼玉県蕨市中央3丁目21番1,JR京浜東北線「蕨」駅より徒歩6分,,,,生活に便利な様々なお店が揃う、蕨駅徒歩6分の立地\n池袋・新宿・渋谷などの主要駅へ30分圏内のアクセス\n1フロア3住戸の設計で住まう方のプライバシーを守ります,1900,1900,1900,1900,30.67㎡,30.67㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/warabi,1DK,1DK,,,,,,,
2010/2/12,非表示,,日神デュオステージ祖師ヶ谷大蔵,先着順受付中,http://www.nisshinfudosan.co.jp/soshigaya_okura/,thumb/h21/soshigaya_okura_icon.gif,東京23区,,東京都世田谷区大蔵一丁目2番24,小田急小田原線「祖師ヶ谷大蔵」駅より徒歩19分,東急田園都市線「用賀」駅より徒歩22分,,,世田谷らしい成熟した街並みの落ち着いた住環境\n様々なライフスタイルに調和する全7タイプの間取りをご用意\n住むほどに使いやすさを実感する、機能性を重視した設備・仕様,2440,2510,2440,2510,30.07㎡,30.07㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/soshigaya_okura,１ＤＫ,1LDK,,,,,,,
2010/2/12,非表示,,日神デュオステージ蓮根,棟内モデルルーム公開中(予約制),http://www.nisshinfudosan.co.jp/hasune/,thumb/h21/hasune_icon.gif,東京23区,,東京都板橋区東坂下二丁目20番6,都営三田線「蓮根」駅より徒歩10分,JR埼京線「浮間舟渡」駅より徒歩13分,,,２路線を自在に使い、主要エリアへダイレクトにアクセス\n水と緑を身近に感じ、生活の利便性にも恵まれたロケーション\n安心して暮せる品質と、充実の設備が揃う都市型マンション,2060,2080,2060,2080,30.01㎡,30.03㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/hasune,1DK,1DK,,,,,,,
2010/2/10,非表示,,日神デュオステージ六郷土手,現地モデルルーム公開中（予約制）,http://www.nisshinfudosan.co.jp/rokugodote/,thumb/h22/rokugodote_icon.gif,東京23区,,東京都大田区仲六郷四丁目12番3,京浜急行本線「六郷土手」駅より徒歩4分,,,,品川、横浜、羽田へ10分圏内の快適なポジション\n大規模な商店街や多摩川の潤いなどの全てが生活圏\n決め細やかな利便性・安全性に配慮した設備・仕様,2280,2280,2280,2280,30.11㎡,30.11㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/rokugodote,1DK,1DK,,,,,,,
2009/11/6,非表示,,日神デュオステージ浅草松が谷,現地モデルルーム公開中（予約制）,http://www.duostage.com/asakusa_matsugaya/,thumb/h21/asakusa_matsugaya_icon.gif,東京23区,,東京都台東区松が谷二丁目27番9,つくばエクスプレス線「浅草」駅より徒歩6分,JR線「上野」駅より徒歩12分,,,上野と浅草の真ん中に位置し、どちらの街の良さも享受できる立地\n複数の駅を徒歩圏内に擁し、東京のあらゆる場所へアクセス可能\n上層階では、東京を一望できるなど様々な景色を楽しめる住空間,2960,2960,2960,2960,40.04㎡,40.04㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asakusa_matsugaya,1LDK,1LDK,,,,,,,
2009/11/6,非表示,,日神デュオステージ浅草三筋,現地モデルルーム公開中（予約制）,http://www.duostage.com/asakusa_misuji/,thumb/h21/asakusa_misuji_icon.gif,東京23区,,東京都台東区三筋一丁目10番5,都営大江戸線「新御徒町」駅より徒歩5分,JR総武線「浅草橋」駅より徒歩10分,,,６駅８路線利用可能で都心へのアクセス自由自在\n浅草の賑わいから一歩離れ、風情を保った閑静なロケーション\n寛ぎの時間に相応しい、シンプルでスタイリッシュな「快適空間」,2550,2550,2550,2550,30.00㎡,30.00㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asakusa_misuji,1DK,1DK,,,,,,,
2009/10/8,非表示,,日神デュオステージ常盤台銀座,現地モデルルーム公開中(予約制),http://www.duostage.com/tokiwadai_ginza/,thumb/h21/tokiwadai_ginza_icon.gif,東京23区,,東京都板橋区南常盤台一丁目30番7,東武東上線「ときわ台」駅より徒歩2分,,,,「池袋」「新宿」駅へ15分圏内のスピーディーなアクセス\nときわ台駅徒歩2分。駅から続く商店街の一画に立地\n明るい光を取り入れる全戸南東向きの心地よい住空間,2410,2420,2410,2420,30.00㎡,30.00㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tokiwadai_ginza,1DK,1DK,,,,,,,
2009/7/17,非表示,,日神デュオステージ大島,棟内モデルルーム公開中,http://www.duostage.com/ojima/,thumb/h21/ojima_icon.gif,東京23区,,東京都江東区大島三丁目32番9,都営新宿線「大島」駅より徒歩3分,JR総武線「亀戸」駅より徒歩14分,,,新宿へ直通18分と主要エリアにスピーディにアクセス可能\n毎日のくらしを明るくする南向き中心の明るいルームプラン\n緑の潤いと生活に便利な店舗が揃う贅沢な住環境,2870,2960,2870,2960,30.71㎡,30.71㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ojima,1DK,1DK,,,,,,,
2009/6/12,非表示,,日神パレステージ小作,現地モデルルーム公開中,http://www.nisshinfudosan.co.jp/ozaku/,thumb/h21/ozaku_icon.gif,東京都下,,東京都羽村市小作台五丁目13番1,JR青梅線「小作」駅より徒歩2分,,,,白を基調とした優美で明るいエントランスホール\nバスルームで簡単に音楽が聞けるBGMインターホンリモコンを設置\n暮らす人々に潤いと活力を与える緑に包まれた周辺環境,2900,3810,2900,3810,54.00㎡,73.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ozaku,1LDK+S,3LDK+DEN,,,,,,,
2008/12/26,非表示,,日神デュオステージ押上,先着順受付中,http://www.duostage.com/oshiage/,thumb/h20/oshiage_icon.gif,東京23区,,東京都墨田区京島二丁目9番,京成押上線「京成曳舟」駅より徒歩7分,東京メトロ半蔵門線「押上」駅より徒歩10分,,,徒歩10分圏内で3駅5路線利用可能な好立地\n進化する押上・曳舟エリア。商業施設も充実の住環境\n都市生活には欠かせない安心のセキュリティシステムを採用,2750,2760,2750,2760,40.02㎡,40.02㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/oshiage,1LDK,1LDK,,,,,,,
2008/12/25,非表示,,日神デュオステージ両国,先着順受付中,http://www.duostage.com/ryogoku/,thumb/h20/ryogoku_icon.gif,東京23区,,東京都墨田区本所一丁目7番1,都営大江戸線「両国」駅より徒歩6分,都営浅草線「蔵前」駅より徒歩10分,,,4駅3路線利用可能でビジネスもレジャーも思いのまま\n都会でありながら、時に江戸情緒も感じられる住環境\n錦糸町・浅草・押上エリアへも自転車で気軽にお出かけできます,2550,2660,2550,2660,30.27㎡,35.63㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ryogoku,1DK,1DK,,,,,,,
2008/12/25,非表示,,日神デュオステージ板橋,先着順受付中,http://www.duostage.com/itabashi/,thumb/h20/itabashi_icon.gif,東京23区,,東京都板橋区板橋一丁目49番6,都営三田線「新板橋」駅より徒歩3分,JR埼京線「板橋」駅より徒歩4分,,,3駅3路線が徒歩7分圏内に集中する好立地\n駅近ながらも親しみやすい街並みの住環境\nお手入れしやすく安全なIHクッキングヒーターを設置,2320,2420,2320,2420,30.03㎡,30.08㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/itabashi,1DK,1DK,,,,,,,
2008/12/25,非表示,,日神デュオステージ浅草今戸,先着順受付中,http://www.duostage.com/asakusa_imado,thumb/h20/asakusa_imado_icon.gif,東京23区,,東京都台東区今戸二丁目10番1,東武伊勢崎線「浅草」駅より徒歩15分,東京メトロ銀座線「浅草」駅より徒歩16分,,,全10タイプの間取りプランは全戸明るい南向き\n上層階からは隅田川の花火大会も望める立地\n下町ならではの街並みで暮らしやすい住環境,2140,2200,2140,2200,30.32㎡,30.32㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asakusa_imado,1DK,1LDK,,,,,,,
2008/12/25,非表示,,日神デュオステージ北浦和,先着順受付中,http://www.nisshinfudosan.co.jp/kitaurawa/,thumb/h20/kitaurawa_icon.gif,埼玉,,埼玉県さいたま市浦和区常磐三丁目23番3,JR京浜東北線「北浦和」駅より徒歩6分,,,,上野へ21分、池袋へ25分と主要都市にスピーディにアクセス可能。\n全タイプ２面採光・３面採光の開放感溢れる住戸設計。\n北浦和の街並みに融合した地上１４階建ての全４３邸。,2170,2170,2170,2170,33.18㎡,33.18㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/kitaurawa,1DK,1DK,,,,,,,
2008/12/22,非表示,,日神デュオステージ新中野,先着順受付中,http://www.shinnaka-style.com/,thumb/h20/shinnakano_icon.gif,東京23区,,東京都中野区中央五丁目17番1,東京メトロ丸ノ内線「新中野」駅より徒歩6分,JR中央線・総武線「中野」駅より徒歩13分,,,3駅4路線利用可能で、都心へのアクセスも抜群。\n新宿まで直通6分、東京駅へも19分の好立地。\n毎日の買い物から、おしゃれなカフェタイムまで充実の街並み,3580,3660,3580,3660,44.83㎡,44.83㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/shinnakano,1LDK,1LDK,,,,,,,
2008/10/17,非表示,,日神デュオステージ王子神谷,棟内モデルルーム公開中,http://www.duostage.com/ojikamiya/,thumb/h20/ojikamiya_icon.gif,東京23区,,東京都北区王子五丁目8番1,東京メトロ南北線「王子神谷」駅より徒歩2分,JR京浜東北線「東十条」駅より徒歩13分,,,駅徒歩２分の立地に暮らしながらも自然と共存するロケーション\n新宿・東京・秋葉原駅などへ２０分以内のマルチアクセス\n住むほどに使いやすさを実感する、機能性を重視した設備・仕様,2380,2630,2380,2630,30.06㎡,30.20㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/ojikamiya,1DK,1DK,,,,,,,
